text,intent
Bugün ne giysem?,kapsam_disi
Hoşça kal,vedalasma
E-devletten Resmi not belgesi alabilir miyim?,transkript
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
yaz okulunda Kurum içi geçiş başvurusu almak istiyorum.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Günaydın,selamlama
1. sınıflar için Ders ekle-bırak hakkında bilgi ver.,ders_kaydi
Ders atama yardımcı ol.,ders_kaydi
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
güz döneminde MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
1. sınıflar için Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Dolar ne kadar oldu?,kapsam_disi
Günaydın,selamlama
SIS üzerinden Ders atama yardımcı ol.,ders_kaydi
türkçe Öğrenci belgesi işlemlerini anlat.,transkript
e-imzalı Not çizelgesi nasıl çıkartılır?,transkript
Transkript belgesine ihtiyacım var.,transkript
1. sınıflar için Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
Merhaba asistan,selamlama
Kendine iyi bak,vedalasma
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
ingilizce Not çizelgesi konusunda desteğe ihtiyacım var.,transkript
Ders atama işlemi yapmak istiyorum.,ders_kaydi
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
Film önerin var mı?,kapsam_disi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
SIS üzerinden Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
Ders kaydı işlemi yapmak istiyorum.,ders_kaydi
bugün Bölüm değiştirme başvurusu işlemlerini anlat.,yatay_gecis
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Resmi not belgesi nereden alınır?,transkript
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
acilen Ders seçimi almak istiyorum.,ders_kaydi
Selamlar,selamlama
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Hava durumu nasıl?,kapsam_disi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Mezuniyet için Not çizelgesi almak istiyorum.,transkript
Kendine iyi bak,vedalasma
SIS üzerinden Kayıt yenileme yardımcı ol.,ders_kaydi
Hoşça kal,vedalasma
Mezuniyet için Transkript yardımcı ol.,transkript
Ders ekle-bırak işlemi yardımcı ol.,ders_kaydi
Kendine iyi bak,vedalasma
Resmi not belgesi belgesine ihtiyacım var.,transkript
Farklı bir bölüme MYP ile geçiş yardımcı ol.,yatay_gecis
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Öğrenci belgesi nereden alınır?,transkript
SIS üzerinden Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
AGNO ile Bölüm değiştirme mümkün mü?,yatay_gecis
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
Sonra görüşürüz,vedalasma
bahar döneminde MYP ile geçiş başvurusu işlemlerini anlat.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Bay bay,vedalasma
SIS üzerinden Ders ekle-bırak işlemlerini anlat.,ders_kaydi
Öğrenci belgesi nereden alınır?,transkript
E-devletten Not çizelgesi alabilir miyim?,transkript
Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
MYP ile geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Transkript nereden alınır?,transkript
İstanbul'un nüfusu kaç?,kapsam_disi
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Farklı bir bölüme Bölüm değiştirme konusunda desteğe ihtiyacım var.,yatay_gecis
Bay bay,vedalasma
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Ders seçimi işlemi işlemlerini anlat.,ders_kaydi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
1. sınıflar için Ders ekle-bırak almak istiyorum.,ders_kaydi
SIS üzerinden Kayıt yenileme yapmak istiyorum.,ders_kaydi
ingilizce Transkript nasıl çıkartılır?,transkript
Selam bot,selamlama
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
bugün MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
bahar döneminde Kurum içi geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Sonra görüşürüz,vedalasma
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Mezuniyet için Öğrenci belgesi almak istiyorum.,transkript
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Ders seçimi yardımcı ol.,ders_kaydi
Ders atama yapmak istiyorum.,ders_kaydi
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
yarın Ortalama ile geçiş başvurusu almak istiyorum.,yatay_gecis
Merhaba,selamlama
bu dönem MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
Ders ekle-bırak işlemi hakkında bilgi ver.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
Öğrenci belgesi belgesine ihtiyacım var.,transkript
Yatay geçiş şartları hakkında bilgi ver.,yatay_gecis
Görüşürüz,vedalasma
türkçe Resmi not belgesi hakkında bilgi ver.,transkript
Dolar ne kadar oldu?,kapsam_disi
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
Merhaba,selamlama
"Teşekkürler, bay",vedalasma
1. sınıflar için Ders kaydı hakkında bilgi ver.,ders_kaydi
Çıkış yapıyorum,vedalasma
yarın MYP ile geçiş başvurusu işlemlerini anlat.,yatay_gecis
Selamlar,selamlama
MYP ile geçiş şartları almak istiyorum.,yatay_gecis
Kayıt yenileme işlemi almak istiyorum.,ders_kaydi
e-imzalı Resmi not belgesi yapmak istiyorum.,transkript
E-devletten Not dökümü alabilir miyim?,transkript
AGNO ile Bölüm değiştirme mümkün mü?,yatay_gecis
Bye,vedalasma
bu dönem Ders ekle-bırak işlemlerini anlat.,ders_kaydi
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Yatay geçiş şartları almak istiyorum.,yatay_gecis
Kayıt yenileme işlemi yardımcı ol.,ders_kaydi
Çıkış yapıyorum,vedalasma
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Günaydın,selamlama
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Kurum içi geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Bana bir fıkra anlat.,kapsam_disi
gelecek hafta Bölüm değiştirme başvurusu konusunda desteğe ihtiyacım var.,yatay_gecis
bugün Ders kaydı yapmak istiyorum.,ders_kaydi
İyi günler,selamlama
Merhaba asistan,selamlama
1. sınıflar için Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
bahar döneminde Ders ekle-bırak yapmak istiyorum.,ders_kaydi
Bölüm değiştirme şartları yardımcı ol.,yatay_gecis
Kendine iyi bak,vedalasma
Çıkış yapıyorum,vedalasma
Kurum içi geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
